a_au,e,i_deg,node_deg,peri_deg,mean_anomaly_deg
2.0727,0.2442,3.530,104.03,52.49,7.46
2.0740,0.1801,12.468,228.76,5.06,219.18
2.0771,0.1980,5.559,205.65,137.04,237.97
2.0784,0.0436,11.106,79.48,332.18,280.89
2.0789,0.1161,11.877,204.51,266.15,167.23
2.0794,0.0433,1.440,262.70,40.36,315.27
2.0807,0.1085,11.140,147.33,134.67,242.10
2.0812,0.0569,5.129,227.29,288.40,277.14
2.0812,0.2306,25.412,37.11,167.11,250.53
2.0821,0.1938,20.224,17.71,132.63,129.83
2.0822,0.0540,5.945,345.85,251.00,216.84
2.0823,0.1340,2.493,1.08,320.34,12.56
2.0846,0.1035,9.377,226.88,259.14,135.57
2.0850,0.0426,5.311,201.81,149.34,335.89
2.0853,0.2202,9.869,110.47,198.93,39.49
2.0856,0.0435,16.624,68.00,267.86,267.10
2.0862,0.0837,2.632,151.78,351.42,111.56
2.0868,0.1495,17.849,43.62,90.68,61.13
2.0868,0.1117,5.699,217.85,39.24,277.72
2.0878,0.0966,5.392,211.68,261.08,313.91
2.0879,0.0562,12.404,101.80,54.17,319.60
2.0880,0.1485,12.783,220.03,314.04,165.65
2.0889,0.2330,8.380,33.90,4.81,224.46
2.0897,0.0300,13.101,349.93,305.59,56.43
2.0900,0.0968,11.712,316.24,132.79,89.72
2.0903,0.1779,17.160,198.35,332.42,181.98
2.0912,0.1332,7.143,27.26,12.15,174.49
2.0915,0.0955,17.442,132.71,157.26,333.22
2.0917,0.1602,8.559,151.34,93.20,197.24
2.0918,0.1651,7.791,63.06,333.41,133.88
2.0921,0.1353,4.290,189.06,70.03,319.74
2.0922,0.1008,22.368,270.46,95.23,196.93
2.0924,0.0520,9.786,87.24,34.27,88.37
2.0925,0.1706,6.996,320.02,294.64,317.06
2.0944,0.0319,8.240,325.26,245.26,301.09
2.0954,0.0864,1.784,15.66,43.14,292.00
2.0956,0.0627,7.476,253.46,295.86,1.99
2.0957,0.0724,12.586,209.88,246.93,164.82
2.0959,0.1317,15.003,247.80,310.39,357.30
2.0960,0.3060,11.006,335.67,57.87,87.43
2.0963,0.1122,14.261,155.05,34.02,45.27
2.0966,0.0889,8.678,8.20,163.02,113.47
2.0973,0.0762,23.097,97.12,237.79,10.88
2.0978,0.2036,9.139,26.77,279.79,261.85
2.0980,0.1693,13.395,249.25,185.79,16.43
2.0980,0.1634,15.806,153.08,26.48,240.18
2.0985,0.2405,8.013,173.21,203.99,336.85
2.1003,0.0620,8.892,125.82,298.92,86.98
2.1007,0.0873,15.819,333.74,283.08,240.64
2.1011,0.2654,25.196,11.48,47.44,147.08
2.1015,0.0637,12.894,347.70,167.86,135.38
2.1022,0.0555,11.937,281.44,249.01,239.83
2.1025,0.1838,24.578,141.42,284.25,235.27
2.1026,0.0734,10.811,331.00,173.28,90.91
2.1028,0.2117,2.249,351.46,207.28,134.53
2.1028,0.0824,13.846,92.86,290.65,79.37
2.1031,0.1003,5.217,328.34,187.48,168.31
2.1035,0.0972,3.600,258.46,59.47,286.04
2.1038,0.0485,7.931,303.59,255.67,7.85
2.1039,0.2554,14.558,246.18,256.25,85.29
2.1041,0.2169,4.432,287.90,215.73,247.41
2.1053,0.1094,13.144,82.63,330.69,249.88
2.1055,0.1206,17.731,248.96,314.44,79.58
2.1058,0.1106,4.736,19.17,329.63,181.51
2.1059,0.2804,1.911,118.06,180.99,187.56
2.1061,0.0395,14.157,186.03,144.55,212.01
2.1061,0.1505,5.409,275.10,176.28,211.32
2.1066,0.0912,2.221,292.41,227.46,98.60
2.1067,0.1966,8.243,121.66,281.01,39.70
2.1068,0.0625,16.181,333.98,303.06,82.39
2.1070,0.2201,7.201,275.61,179.94,268.56
2.1073,0.0591,10.969,296.05,314.88,49.44
2.1074,0.0729,7.410,50.20,322.33,146.44
2.1079,0.1267,16.307,167.43,250.52,57.13
2.1085,0.1619,5.729,127.58,19.85,83.92
2.1085,0.0938,12.423,217.41,114.03,201.10
2.1090,0.1377,17.298,106.19,334.63,30.08
2.1090,0.1027,3.955,13.64,70.84,277.31
2.1095,0.1794,13.443,222.92,12.05,203.32
2.1096,0.1538,12.935,253.83,149.34,48.97
2.1097,0.1767,16.902,178.10,270.69,251.72
2.1114,0.0317,14.781,336.86,191.40,283.56
2.1120,0.1489,23.448,8.11,359.22,103.09
2.1122,0.2124,11.480,247.78,19.23,228.60
2.1123,0.0212,11.873,110.47,85.30,112.99
2.1131,0.1844,4.547,297.27,29.41,77.49
2.1133,0.1818,11.681,11.40,180.05,148.43
2.1141,0.0885,8.399,249.23,44.09,195.04
2.1145,0.0875,5.848,268.15,86.71,152.30
2.1149,0.1827,8.442,217.66,208.38,351.24
2.1151,0.1180,2.897,35.24,136.93,191.35
2.1151,0.1906,14.958,123.41,155.41,20.44
2.1153,0.0787,3.316,237.90,175.34,154.43
2.1154,0.1705,13.992,189.95,160.02,72.24
2.1156,0.2202,5.706,21.72,201.46,126.55
2.1156,0.0714,23.057,59.60,137.51,151.88
2.1158,0.1085,23.253,165.74,36.15,37.19
2.1168,0.1459,1.537,250.94,60.72,298.37
2.1171,0.1659,2.282,67.07,292.13,339.41
2.1172,0.0948,21.695,64.49,105.80,318.87
2.1172,0.1499,11.802,84.42,344.25,237.00
2.1181,0.1387,12.157,37.52,0.62,22.55
2.1191,0.1345,15.860,241.95,4.36,253.89
