lon,lat,diameter_km
-170.0000,-54.0000,2050.000
-17.4068,33.4635,1113.841
59.8466,16.9763,1091.521
-94.5566,-19.7345,928.473
34.6673,-14.4650,914.999
86.6138,-1.8255,886.977
-15.3725,-18.6289,835.450
18.8607,27.0236,658.628
-93.6973,-50.0979,635.875
148.7715,27.4877,628.680
81.9745,57.2361,603.126
175.0039,18.3493,582.285
-129.1571,2.0247,549.393
-151.7219,-36.0658,475.822
148.9668,-4.8920,452.971
-157.4701,-4.4430,417.139
-39.6967,-24.6870,407.689
147.0497,26.1274,401.559
-158.1644,13.4521,393.547
123.2951,-81.0753,378.676
-169.8414,25.1018,359.054
-45.2672,-55.4568,350.250
-97.0998,34.3631,333.285
141.1357,5.4436,330.791
135.0916,-57.3913,320.524
163.6812,-32.8072,319.231
-122.5339,51.3494,315.767
133.5337,-74.8652,312.747
163.1533,-57.3193,311.641
-147.2474,59.2763,308.094
-68.7959,-67.1813,299.358
-108.5247,-28.1275,275.673
98.5597,40.3770,265.187
69.3303,-15.6133,264.656
149.3784,-19.6631,255.770
109.0653,-68.6469,252.194
112.8568,-31.4849,250.897
176.3040,-46.9757,245.208
167.8215,-3.1976,241.645
123.3894,-19.6725,240.785
-31.1810,44.5298,233.931
-68.6893,-5.0105,233.783
179.1268,-38.3496,233.749
164.8361,51.0543,231.696
40.6390,-44.3464,229.961
-118.9701,42.1224,226.910
104.8591,-11.6595,221.894
152.8752,45.4506,221.563
-98.8757,57.6561,220.895
-14.7672,-58.6946,220.531
156.8421,-10.1120,218.802
-5.2704,-32.6097,216.511
-66.0722,-16.0013,212.469
-7.0547,-22.4949,211.558
-152.6452,-14.1118,210.024
120.0916,70.3554,207.028
-166.0453,-35.3755,205.593
80.8167,-27.0858,205.511
-108.3612,40.2303,205.005
90.1994,61.5742,204.083
-54.9952,-44.5355,199.965
-24.4324,-9.2411,197.222
-84.5604,46.6431,193.632
124.8912,-2.7486,187.094
-88.5823,16.7538,185.441
-135.5966,-75.0430,185.158
128.9814,-20.2614,185.056
162.3215,5.6307,184.826
105.2295,34.5157,184.135
-150.3022,-53.9604,182.216
119.7598,14.7330,180.651
-149.2718,18.2105,180.088
60.8401,-25.3914,179.954
100.8223,43.0460,177.400
-170.5983,12.9434,176.986
127.3350,-66.3623,176.947
87.6618,-75.2687,174.799
-136.6347,23.2670,174.757
-133.0092,-33.9978,174.667
108.2477,-18.0648,173.028
176.0078,-44.6332,172.076
-76.7488,23.5888,171.257
171.1629,-19.1646,170.717
-88.7572,-65.3381,169.867
79.1061,35.9351,169.380
93.4412,25.8557,169.076
-159.5045,85.1659,168.699
-114.2023,-55.4481,167.853
166.8391,-10.3376,167.704
88.9283,24.2673,166.983
170.0077,9.5746,166.286
27.0842,45.3037,165.270
-87.8761,-79.8833,165.066
-176.1880,7.1939,163.894
100.1636,31.2373,163.334
-41.8597,62.3071,162.992
104.2891,55.9587,162.600
-74.5070,-2.8001,161.263
161.9597,-9.7016,161.111
-163.8519,36.6129,160.933
-114.6046,-43.8270,160.403
-162.6675,56.8951,160.128
45.2989,-31.2976,159.489
-76.6389,2.5950,158.471
-149.8589,5.3391,156.973
-112.4764,-81.2097,155.594
123.9354,-13.5404,153.837
-1.7336,-9.1854,153.590
104.8572,61.2415,153.204
136.5120,-42.2109,153.103
3.8931,65.4025,151.500
-126.0757,18.1746,151.166
142.2631,-28.3605,151.044
61.7151,-16.1627,149.737
-168.7947,-80.7957,149.525
167.2433,73.7110,149.060
92.4890,-22.9981,148.221
-6.2215,-50.2071,148.108
84.7114,-50.4354,147.962
84.7214,8.8506,147.680
-131.8687,33.8814,146.465
170.6549,-28.1884,146.332
-145.0564,42.4524,145.769
93.4621,-6.0635,145.747
-57.0170,59.5622,145.376
-68.7869,-39.7736,145.256
-22.0508,-49.8560,144.064
156.0243,-35.6830,143.970
-109.9013,-48.8324,142.166
147.3236,-34.8169,141.102
-131.7156,12.4446,139.334
-161.0714,64.5790,139.238
151.5984,3.8971,138.342
-24.3470,-32.6207,138.096
-123.5502,-14.3992,138.025
-157.0096,7.1224,137.365
-40.0300,-51.6700,137.264
-172.9644,-69.3530,137.043
-136.4000,-11.2022,136.930
79.5594,-21.6012,136.581
55.4783,27.6052,135.689
99.6575,13.3366,135.426
-88.3676,74.7367,135.309
119.0499,-13.2011,135.105
173.3106,-25.8691,134.955
-115.8894,-37.4126,134.201
62.3796,61.3647,133.527
3.9287,-11.2155,133.242
4.8451,-5.3605,132.854
61.0639,-8.7830,130.751
-50.6585,57.4236,130.743
173.0312,-16.3640,129.984
25.9448,-32.1968,129.817
-27.7331,-70.1910,129.760
167.6091,-15.3296,129.616
109.4650,14.9392,129.365
70.3011,-20.2640,129.246
60.3085,-36.0591,128.992
-62.8328,63.6217,128.696
53.8741,-70.3760,128.503
0.5729,-33.2503,128.491
-133.3849,17.6338,128.096
-71.8666,21.7384,128.086
-74.4199,-24.9345,127.945
-73.5762,48.8266,127.833
150.3585,-5.6755,127.723
126.6174,3.9788,126.977
-144.0215,52.0443,126.306
-154.5690,-15.0121,126.241
96.1224,-18.0415,125.730
-140.5700,-14.0776,125.465
-158.3184,7.8213,125.159
109.6549,46.4419,124.831
-55.2060,68.3148,124.297
-160.6904,53.1096,124.076
-69.2590,-19.9362,124.009
97.0522,-73.7258,124.007
52.9550,58.9532,123.628
-176.2172,49.2458,123.597
-76.6082,21.9331,123.327
5.8340,-41.2509,123.312
-176.6734,-28.4783,123.283
-91.5315,33.0563,123.168
56.6677,53.6466,123.080
145.4107,61.8953,123.070
-142.6275,64.1311,123.053
-121.6085,6.6258,123.000
120.8136,13.2880,122.975
-94.6737,35.5190,122.959
105.6701,33.7107,122.851
165.2417,63.2473,122.840
-101.9517,18.1436,122.493
127.3856,-51.6712,122.004
118.7169,6.6133,121.647
113.2789,0.3182,121.076
20.0684,73.6912,121.032
78.9337,-6.9138,120.797
-158.4686,26.2254,120.629
59.3022,-78.4483,120.369
120.8443,-32.9852,119.749
-75.6449,-73.9557,119.479
178.8067,-67.2665,119.057
73.1522,43.3206,118.968
-65.3841,-20.6988,118.795
59.9974,39.3023,118.778
33.0342,-21.3949,118.285
166.3100,-70.9601,117.620
166.1366,-32.2888,117.606
141.7837,38.4012,117.191
91.3075,-42.6923,117.067
-178.7751,-29.2812,116.712
76.0234,-48.6470,115.853
-35.2078,-43.8043,115.772
-5.4423,-70.6584,115.552
148.6079,-49.9476,115.479
130.0789,-35.2539,115.409
-57.2800,-52.8268,115.226
-129.4032,30.8652,114.885
85.4575,-34.4558,114.707
-2.8399,-13.4128,113.890
146.6265,41.0168,113.853
-124.7540,-35.7278,113.650
96.4911,81.1567,113.534
-3.3893,73.0502,113.506
166.3864,-35.7308,113.388
-67.3802,2.2408,113.134
115.1564,-52.7307,113.021
-4.0503,-40.4089,112.853
13.9445,-41.8517,112.677
-142.1287,-19.5715,112.600
121.9628,10.2623,112.369
-108.7958,46.3003,112.328
-175.3221,-22.8176,112.150
-40.0050,-17.4920,112.045
-81.9559,57.6730,111.628
89.4353,29.1637,111.572
84.7965,-64.2356,111.361
114.5303,29.3505,111.193
-42.5277,-10.5974,110.979
-162.6191,-70.5485,110.802
-1.8459,-25.6046,110.785
86.9839,39.3614,110.675
98.4984,29.9363,110.607
163.4507,59.3753,110.428
140.3804,-47.0129,110.293
-84.6477,54.0292,110.195
-29.6164,-43.3834,110.006
120.0380,-43.5605,109.996
32.8603,-54.7534,109.799
148.1486,14.5406,109.667
108.8252,67.9916,109.283
176.5005,81.6630,108.990
95.3755,-21.8161,108.572
-145.6498,-56.1603,108.399
-120.4271,16.3211,108.258
-133.9473,-58.2131,108.129
-179.2500,-25.1062,107.975
-172.1000,-28.6037,107.919
-130.7668,-10.2146,107.876
151.6356,-54.6049,107.838
144.6411,65.3896,107.646
85.9505,-29.8764,107.564
102.9085,-1.7500,107.344
46.2898,-67.2288,107.169
75.7070,-26.5864,106.985
23.5529,-17.8678,106.690
170.7300,15.4688,106.658
168.4222,-13.1009,106.445
177.4039,77.8383,106.211
-138.6983,4.7208,105.961
65.1952,-68.6100,105.698
-140.9324,30.3876,105.533
-27.7808,-60.4780,105.458
-44.2100,-3.3465,105.222
85.3434,72.8816,105.198
-148.1597,20.6847,104.987
-131.7757,-45.8736,104.929
-172.0550,-11.8014,104.917
-92.3534,86.2292,104.868
157.9471,-4.7669,104.772
84.7966,-43.2180,104.646
110.9246,-23.5809,104.336
119.5820,-9.8471,104.051
33.9249,71.4582,103.849
110.0329,44.0031,103.802
-99.4099,15.4615,103.768
-70.0970,74.4004,103.468
98.1260,-1.3614,103.416
-1.2221,-28.0148,103.385
-118.8326,61.3527,103.367
-31.0433,-72.7596,103.364
146.4325,4.4618,103.346
-131.4973,36.4418,103.273
-97.0202,15.9959,103.255
-114.1111,-6.6790,103.208
117.1754,11.5844,103.186
56.0254,74.7425,103.131
-75.4763,26.5412,102.899
-68.1953,-36.2779,102.856
134.3488,-35.6240,102.723
-22.0047,-63.7585,102.654
-75.4682,-31.6581,102.116
147.4151,-17.6247,101.969
-126.9236,-12.4954,101.935
115.6765,-15.2903,101.920
-137.6451,-0.0697,101.914
-69.9632,-22.9219,101.792
-155.7505,24.1119,101.764
107.8617,-46.9438,101.537
-145.0352,30.7255,101.444
100.9675,-42.8133,101.441
-20.9209,-43.1747,101.246
-131.3331,29.2368,100.995
-150.2578,50.1425,100.889
138.6813,-4.8073,100.762
-79.4438,-45.8351,100.692
-80.2301,11.8685,100.650
76.0874,-3.2599,100.528
-175.9916,62.8169,100.514
86.4647,-84.5513,100.466
-172.2069,26.8520,100.218
-133.5390,-40.5887,99.988
67.3121,-3.9642,99.945
-177.1000,3.6004,99.914
120.1861,-38.3027,99.884
-9.3625,51.6714,99.852
143.2013,-23.2536,99.585
116.5230,-57.3385,99.533
93.7134,33.8595,99.481
162.8915,-46.1233,99.426
141.8334,-31.8456,99.110
29.9959,31.8626,99.033
-54.4025,-59.2805,98.674
-112.1486,20.5020,98.627
94.1565,4.2645,98.585
110.3939,3.4867,98.262
26.3292,-11.3957,98.009
46.7696,-82.1753,97.946
171.8954,-60.3568,97.927
104.1692,-35.9716,97.915
-138.9447,-0.6941,97.914
6.3604,-24.1663,97.759
122.8329,40.9214,97.718
55.0221,47.6844,97.715
-133.5629,21.0356,97.541
150.3010,-42.1538,97.472
34.7608,59.2223,97.297
169.4462,-57.7721,97.111
-91.3871,43.2309,97.108
-144.1205,27.2515,96.985
-138.6000,47.4060,96.911
137.3735,-34.2072,96.817
4.7045,-67.0779,96.691
-1.9765,-18.2220,96.670
-92.7203,10.8743,96.513
-179.7536,-18.7290,96.337
-149.9629,-61.3351,96.162
-175.5000,-8.7008,95.909
-173.2564,-5.3992,95.901
24.0933,-13.3958,95.886
-68.9297,-47.5586,95.882
78.7446,-14.7834,95.827
77.7387,18.0587,95.795
75.7755,-79.1018,95.712
125.1787,-26.7648,95.704
103.5111,-65.8222,95.678
121.4716,46.6929,95.541
104.7452,-59.5541,95.470
-147.7456,-67.3519,95.444
-13.5727,-29.8075,95.439
146.9928,73.6418,95.271
-159.7847,-12.4885,95.264
121.7226,-3.1789,95.228
-110.9701,-62.6982,95.100
61.0276,62.3249,95.088
137.2779,-44.7934,95.076
-23.6000,69.0138,94.910
-20.0583,9.5912,94.811
-136.6614,-30.8347,94.805
43.1833,-72.9167,94.740
79.9139,5.2305,94.607
96.9501,21.0429,94.577
-179.6382,31.9178,94.562
-78.5849,51.3576,94.494
131.0064,9.6469,94.482
26.3990,-67.4419,94.402
79.7208,-12.9366,94.297
119.6421,29.5536,94.194
-168.4675,32.4102,94.114
-27.8777,74.0740,94.111
-138.3725,16.3410,93.923
170.0710,76.6870,93.862
-147.1621,-42.5552,93.791
179.3439,-5.8202,93.749
167.1415,72.6415,93.735
16.6002,-23.7844,93.623
108.0211,-37.4295,93.592
113.1296,-10.7437,93.459
122.3030,-50.1978,93.438
12.0736,85.4039,93.391
107.3738,6.8415,93.320
-83.9662,14.0107,93.108
-162.9242,31.1058,93.003
129.1966,-6.3031,92.964
-108.8937,25.8722,92.918
159.2392,-15.7891,92.908
172.5000,32.6032,92.906
89.1768,15.1260,92.540
-150.8987,44.1708,92.460
-176.8457,-17.0687,92.442
162.7383,-0.1596,92.419
-132.6328,61.8823,92.251
-154.7564,17.8466,91.948
-147.1624,2.6902,91.920
-179.8700,-63.4918,91.871
-65.3546,-24.7101,91.845
98.3095,27.4033,91.662
65.9768,-58.7953,91.646
37.5851,74.5702,91.609
137.1821,-25.9026,91.529
79.6385,-19.5902,91.242
128.8985,-9.9322,91.188
-33.1363,71.2707,91.128
-157.1535,75.9226,91.041
-76.4747,43.5696,90.950
130.5000,23.2021,90.905
152.6259,-38.9637,90.899
-128.7937,-35.8700,90.810
35.7862,66.8775,90.720
164.0032,10.1833,90.641
-169.5067,-53.9012,90.480
129.6536,13.8965,90.443
58.4170,45.4744,90.077
24.5403,-28.4318,90.003
-90.1000,20.9018,89.906
-127.8069,-44.2602,89.793
-66.7261,-16.9673,89.789
-124.8279,-57.8258,89.630
-73.8431,-58.6325,89.613
-18.2006,-49.9005,89.547
-16.9135,-6.0912,89.491
113.0781,9.7837,89.471
-125.9423,59.3840,89.466
101.1777,48.6053,89.375
-90.6284,8.8969,89.197
-114.9028,54.4643,89.169
81.0578,-14.2310,89.108
7.4982,71.3575,89.085
-139.3898,82.0277,88.906
142.0919,-65.0377,88.899
165.8195,13.0691,88.868
-96.9788,28.4566,88.608
126.9309,51.7380,88.405
174.1705,-54.4454,88.212
-113.9208,45.1894,87.914
-130.3789,71.8079,87.912
-105.2000,21.8018,87.902
73.5968,31.1205,87.896
159.1459,-50.9693,87.889
-10.2244,-66.9863,87.876
-131.3149,-71.0332,87.722
118.2761,-33.6199,87.690
172.2827,61.6804,87.625
126.0389,-33.8023,87.592
86.7911,22.3262,87.404
-93.2286,18.1038,87.385
13.3746,-34.4079,87.344
64.6326,-14.6493,87.259
127.0213,-36.6198,87.209
38.7340,-53.4751,87.197
44.3273,46.7071,87.148
-119.6280,25.7472,87.120
-142.4036,-26.4752,86.871
114.7631,-17.4432,86.836
-118.1030,-11.7769,86.796
-130.4843,-27.7792,86.792
-56.5232,-29.2630,86.785
109.7978,64.9690,86.765
-174.8537,-37.7712,86.747
-119.7740,-45.9299,86.297
-92.9261,6.8181,86.265
-90.6043,7.1251,86.248
-127.8908,42.1406,86.149
128.7328,-0.4759,86.139
-166.0933,16.7094,86.037
-179.4581,-2.0982,86.034
-105.2757,25.1415,85.922
-129.2000,-14.4011,85.901
-123.5388,-22.9927,85.872
-96.5211,21.9229,85.864
84.2892,64.4935,85.857
-50.3141,65.5954,85.827
-137.1930,26.5576,85.816
-49.3178,-21.4374,85.809
43.4724,-40.3796,85.622
151.5416,10.1377,85.565
24.5263,-76.6608,85.564
-83.4496,-5.9146,85.546
103.6234,-33.2840,85.354
162.4705,-64.9242,85.345
-55.9308,-42.5896,85.344
-89.2134,41.2104,85.278
83.4876,-32.2733,85.255
122.2534,6.7658,85.151
109.1783,-27.2108,85.038
-56.6085,-34.7696,84.931
81.4920,-40.0910,84.700
-90.8607,67.2109,84.697
32.1532,-29.7288,84.488
137.0228,43.3795,84.485
-97.6740,5.6178,84.422
-173.7674,70.6457,84.405
141.4463,-59.6756,84.258
72.3011,-29.7585,84.230
-134.0026,-22.7259,84.137
